key,species,scientificName,acceptedScientificName,taxonomicStatus,basisOfRecord,eventDate,year,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,recordedBy,recordNumber,institutionCode,collectionCode,catalogNumber,typeStatus,identifiedBy,datasetName,datasetKey,occurrenceID,references,issues,media
94225399,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,OCCURRENCE,1966-07-12,1966,PG,Madang,Road to Utu,-5.091667,145.591667,,90.0,Millar A.N.,,BRI,PNGplants,68297,,,,85312280-f762-11e1-a439-00145eb45e9a,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID,
94225406,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,OCCURRENCE,1967-02-13,1967,PG,Bougainville,Kapikavi,-6.458333,155.675,,870.0,Ridsdale C.,,BRI,PNGplants,68300,,,,85312280-f762-11e1-a439-00145eb45e9a,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID,
1090224850,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1971-03-28,1971,SB,,Navano,,,,,"Yen, D.E.",Collector Number: BSIP 18132,BPBM,BISH,79366,,,Herbarium Pacificum World Specimens,b929f23d-290f-4e85-8f17-764c55b3b284,55a3932c-0d99-4c39-b29b-461d6396a9fb,,CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
5956242655,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1971-03-28,1971,SB,,Navano,,,,15.0,"Yen, D.E.",BSIP 18132,BISH,,79366,NotAType,,,cfb43618-1423-4031-b3ff-fbd2c264f48b,79366,https://pacific.symbiota.org/portal/collections/individual/index.php?occid=482088,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_NONE,
94225405,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,OCCURRENCE,1971-08-09,1971,PG,Western,Kiunga,-6.175,141.341667,,24.0,Streimann H.,,BRI,PNGplants,68299,,,,85312280-f762-11e1-a439-00145eb45e9a,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID,
1090259253,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1971-11-16,1971,SB,,Anuta,,,,,"Yen, D.E.",Collector Number: BSIP 18375,BPBM,BISH,80077,,,Herbarium Pacificum World Specimens,b929f23d-290f-4e85-8f17-764c55b3b284,4d888ea7-afa1-447d-887c-6eb7bfb836f4,,CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
5956607885,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1971-11-16,1971,SB,,Anuta,,,,6.0,"Yen, D.E.",BSIP 18375,BISH,,80077,NotAType,,,cfb43618-1423-4031-b3ff-fbd2c264f48b,80077,https://pacific.symbiota.org/portal/collections/individual/index.php?occid=482799,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_NONE,
1090219253,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1979-03-20,1979,PG,Milne Bay Province,Mt. Rossel,,,,,"Gagné, B.H.",Collector Number: BHG 2041,BPBM,BISH,494317,,,Herbarium Pacificum World Specimens,b929f23d-290f-4e85-8f17-764c55b3b284,ed925e48-06e5-47e0-aa6a-3f6ad2d8ea27,,CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
5956382467,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1979-03-20,1979,PG,Milne Bay Province,Mt. Rossel,,,,300.0,"Gagné, B.H.",BHG 2041,BISH,,494317,NotAType,,,cfb43618-1423-4031-b3ff-fbd2c264f48b,494317,https://pacific.symbiota.org/portal/collections/individual/index.php?occid=1408012,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_NONE,
1056478698,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1979-08-02,1979,PG,Madang,District de Bogia,-4.2,144.844444,,,Robert Iserentant,9198,NHMUK,BOT,BM000957443,,,,7e380070-f762-11e1-a439-00145eb45e9a,bf46b7a0-6458-4da2-badd-0870c2849d04,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
