title,url,repository,cited_by_count,cited_by_taxa
Jardinerong Sunog’s Blog,https://jardinerongsunog.blogspot.com/2020/09/distinguishing-alocasia-boyceana.html?fbclid=IwAR3bAd1l9lGqQ3XkhU_yV09NFx3UsuvbdMdCtaoJzR8GVQ6PO4MGEl5W3NQ,jardinerongsunog.blogspot.com,1,ALOCASIA HETEROPHYLLA
Journal of Botanical Research Institute of Texas V1 N2 (P815-818) (2007),https://www.jstor.org/stable/41971497,jstor.org,1,ALOCASIA NYCTERIS
"Journal of Botany, British and Foreign 25: 205 (1887)",https://www.biodiversitylibrary.org/page/35140742,biodiversitylibrary.org,1,ALOCASIA PERAKENSIS
"The journal of horticulture, cottage gardener and home farmer ser. 3, v. 26 (1893)",https://www.biodiversitylibrary.org/page/55539387,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
The Journal of the Linnean Society Botany v36:183,https://www.biodiversitylibrary.org/page/177991,biodiversitylibrary.org,1,ALOCASIA HAINANICA
Kew Gardens | Bulletin of miscellaneous information (UK 1895) Page 119,https://www.biodiversitylibrary.org/page/40984671,biodiversitylibrary.org,1,ALOCASIA AEQUILOBA
Alocasia alba (Araceae) in Southern Sumatra: further distribution recorded,https://www.researchgate.net/publication/338254408_Alocasia_alba_Araceae_in_Southern_Sumatra_further_distribution_recorded,researchgate.net,1,ALOCASIA ALBA
"Alocasia alba - Curtis’ Botanical Magazine Vol. 17, No. 4 (2000) P.216-220",https://www.jstor.org/stable/45065456?read-now=1&seq=1#page_scan_tab_contents,jstor.org,1,ALOCASIA ALBA
"Alocasia Amazonica (Steve Lucas, 2009)",https://www.exoticrainforest.com/Alocasia%20micholitziana%20%20pc.html,exoticrainforest.com,1,ALOCASIA ‘AMAZONICA’
"Alocasia tandurusaPrameswara & A.Hay, A new (bi)pinnatifid-leaved species from Sulawesi [Araceae, tribe Alocasieae (Schott) A.Hay]",https://www.researchgate.net/publication/374294996_Alocasia_tandurusa_Prameswara_AHay_A_new_bipinnatifid-leaved_species_from_Sulawesi_Araceae_tribe_Alocasieae_Schott_AHay_with_notes_on_tribal_classification_for_the_paraphyletic_grade_of_%27Old_World_Col,researchgate.net,1,ALOCASIA TANDURUSA
